"source_code","11","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539450.sql","d57ed066ad0736388dcee02b87e7d717","DB2","db2dict"
"edge","50","63","123","DIRECT","2"
"edge","51","62","155","DIRECT","2"
"edge","52","61","154","DIRECT","2"
"edge","53","60","153","DIRECT","2"
"edge","54","59","152","DIRECT","2"
"edge","55","58","151","DIRECT","2"
"edge","56","57","150","DIRECT","2"
"edge","57","56","149","DIRECT","2"
"edge","58","55","148","DIRECT","2"
"edge","59","54","147","DIRECT","2"
"edge","60","53","146","DIRECT","2"
"edge","61","52","145","DIRECT","2"
"edge","62","51","144","DIRECT","2"
"edge","63","50","143","DIRECT","2"
"edge","64","49","142","DIRECT","2"
"edge","65","48","141","DIRECT","2"
"edge","66","47","122","DIRECT","2"
"edge","67","46","121","DIRECT","2"
"edge","68","156","102","DIRECT","2"
"edge","69","156","47","DIRECT","2"
"edge","70","155","140","DIRECT","2"
"edge","71","121","140","FILTER","2"
"edge","72","96","140","DIRECT","2"
"edge","73","155","117","DIRECT","2"
"edge","74","121","117","FILTER","2"
"edge","75","96","117","DIRECT","2"
"edge","76","154","116","DIRECT","2"
"edge","77","121","116","FILTER","2"
"edge","78","95","116","DIRECT","2"
"edge","79","154","139","DIRECT","2"
"edge","80","121","139","FILTER","2"
"edge","81","95","139","DIRECT","2"
"edge","82","94","138","DIRECT","2"
"edge","83","153","138","DIRECT","2"
"edge","84","121","138","FILTER","2"
"edge","85","94","115","DIRECT","2"
"edge","86","153","115","DIRECT","2"
"edge","87","121","115","FILTER","2"
"edge","88","152","114","DIRECT","2"
"edge","89","93","114","DIRECT","2"
"edge","90","121","114","FILTER","2"
"edge","91","152","137","DIRECT","2"
"edge","92","93","137","DIRECT","2"
"edge","93","121","137","FILTER","2"
"edge","94","151","136","DIRECT","2"
"edge","95","121","136","FILTER","2"
"edge","96","92","136","DIRECT","2"
"edge","97","151","113","DIRECT","2"
"edge","98","121","113","FILTER","2"
"edge","99","92","113","DIRECT","2"
"edge","100","121","135","FILTER","2"
"edge","101","91","135","DIRECT","2"
"edge","102","150","135","DIRECT","2"
"edge","103","121","112","FILTER","2"
"edge","104","91","112","DIRECT","2"
"edge","105","150","112","DIRECT","2"
"edge","106","121","134","FILTER","2"
"edge","107","90","134","DIRECT","2"
"edge","108","149","134","DIRECT","2"
"edge","109","121","111","FILTER","2"
"edge","110","90","111","DIRECT","2"
"edge","111","149","111","DIRECT","2"
"edge","112","121","133","FILTER","2"
"edge","113","148","133","DIRECT","2"
"edge","114","89","133","DIRECT","2"
"edge","115","121","110","FILTER","2"
"edge","116","148","110","DIRECT","2"
"edge","117","89","110","DIRECT","2"
"edge","118","147","109","DIRECT","2"
"edge","119","121","109","FILTER","2"
"edge","120","88","109","DIRECT","2"
"edge","121","147","132","DIRECT","2"
"edge","122","121","132","FILTER","2"
"edge","123","88","132","DIRECT","2"
"edge","124","146","131","DIRECT","2"
"edge","125","121","131","FILTER","2"
"edge","126","87","131","DIRECT","2"
"edge","127","146","108","DIRECT","2"
"edge","128","121","108","FILTER","2"
