"source_code","5","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DWH\\Procedures\\SQL180710124951056.sql","15dba04a2d0401391cd85e8485b9b5c5","DB2","db2dict"
"edge","200","39","74","FILTER","2"
"edge","201","92","83","FILTER","2"
"edge","202","91","83","FILTER","2"
"edge","203","44","83","FILTER","2"
"edge","204","47","83","FILTER","2"
"edge","205","97","83","FILTER","2"
"edge","206","93","83","FILTER","2"
"edge","207","95","83","FILTER","2"
"edge","208","40","83","FILTER","2"
"edge","209","36","83","FILTER","2"
"edge","210","90","83","FILTER","2"
"edge","211","46","83","FILTER","2"
"edge","212","35","83","FILTER","2"
"edge","213","87","83","FILTER","2"
"edge","214","86","83","FILTER","2"
"edge","215","38","83","FILTER","2"
"edge","216","43","83","FILTER","2"
"edge","217","37","83","FILTER","2"
"edge","218","41","83","FILTER","2"
"edge","219","88","83","FILTER","2"
"edge","220","94","83","FILTER","2"
"edge","221","45","83","FILTER","2"
"edge","222","89","83","FILTER","2"
"edge","223","96","83","FILTER","2"
"edge","224","39","83","FILTER","2"
"edge","225","92","77","FILTER","2"
"edge","226","91","77","FILTER","2"
"edge","227","44","77","FILTER","2"
"edge","228","47","77","FILTER","2"
"edge","229","97","77","FILTER","2"
"edge","230","93","77","FILTER","2"
"edge","231","95","77","FILTER","2"
"edge","232","40","77","FILTER","2"
"edge","233","36","77","FILTER","2"
"edge","234","90","77","FILTER","2"
"edge","235","46","77","FILTER","2"
"edge","236","35","77","FILTER","2"
"edge","237","87","77","FILTER","2"
"edge","238","86","77","FILTER","2"
"edge","239","38","77","FILTER","2"
"edge","240","43","77","FILTER","2"
"edge","241","37","77","FILTER","2"
"edge","242","41","77","FILTER","2"
"edge","243","88","77","FILTER","2"
"edge","244","94","77","FILTER","2"
"edge","245","45","77","FILTER","2"
"edge","246","89","77","FILTER","2"
"edge","247","96","77","FILTER","2"
"edge","248","39","77","FILTER","2"
"edge","249","92","78","FILTER","2"
"edge","250","91","78","FILTER","2"
"edge","251","44","78","FILTER","2"
"edge","252","47","78","FILTER","2"
"edge","253","97","78","FILTER","2"
"edge","254","93","78","FILTER","2"
"edge","255","95","78","FILTER","2"
"edge","256","40","78","FILTER","2"
"edge","257","36","78","FILTER","2"
"edge","258","90","78","FILTER","2"
"edge","259","46","78","FILTER","2"
"edge","260","35","78","FILTER","2"
"edge","261","87","78","FILTER","2"
"edge","262","86","78","FILTER","2"
"edge","263","38","78","FILTER","2"
"edge","264","43","78","FILTER","2"
"edge","265","37","78","FILTER","2"
"edge","266","41","78","FILTER","2"
"edge","267","88","78","FILTER","2"
"edge","268","94","78","FILTER","2"
"edge","269","45","78","FILTER","2"
"edge","270","89","78","FILTER","2"
"edge","271","96","78","FILTER","2"
"edge","272","39","78","FILTER","2"
"edge","273","92","81","FILTER","2"
"edge","274","91","81","FILTER","2"
"edge","275","44","81","FILTER","2"
"edge","276","47","81","FILTER","2"
"edge","277","97","81","FILTER","2"
"edge","278","93","81","FILTER","2"
"edge","279","95","81","FILTER","2"
"edge","280","40","81","FILTER","2"
"edge","281","36","81","FILTER","2"
"edge","282","90","81","FILTER","2"
"edge","283","46","81","FILTER","2"
